number,street,unit,city,postcode,lon,lat
929,SPRUCE ST,,BERKELEY,94707,-122.2667836,37.8926842
2362,MARIN AVE,,BERKELEY,94708,-122.2666579,37.8936458
930,CRAGMONT AVE,,BERKELEY,94708,-122.2666097,37.8930219
890,CRAGMONT AVE,,BERKELEY,94708,-122.2664805,37.8943592
870,REGAL RD,,BERKELEY,94708,-122.2666055,37.8946586
815,SPRUCE ST,,BERKELEY,94707,-122.2683493,37.8945337
910,CRAGMONT AVE,,BERKELEY,94708,-122.2664338,37.8936895
866,REGAL RD,,BERKELEY,94708,-122.2668062,37.8944724
993,CRAGMONT AVE,,BERKELEY,94708,-122.2657153,37.8913227
1023,CRAGMONT AVE,,BERKELEY,94708,-122.264751,37.8905219
979,CRAGMONT AVE,,BERKELEY,94708,-122.2657367,37.8918244
1014,EUCLID AVE,,BERKELEY,94708,-122.2650972,37.8909734
916,REGAL RD,,BERKELEY,94708,-122.2647118,37.8940387
1022,EUCLID AVE,,BERKELEY,94708,-122.2647759,37.890847
1030,EUCLID AVE,,BERKELEY,94708,-122.2644354,37.8907153
1015,CRAGMONT AVE,,BERKELEY,94708,-122.2651764,37.8906723
954,EUCLID AVE,,BERKELEY,94708,-122.265065,37.8936526
1027,CRAGMONT AVE,,BERKELEY,94708,-122.2645931,37.8905436
,EUCLID AVE,,BERKELEY,94708,-122.2646199,37.8907533
959,CRAGMONT AVE,,BERKELEY,94708,-122.2657634,37.8923691
958,EUCLID AVE,,BERKELEY,94708,-122.2652997,37.8933817
970,EUCLID AVE,,BERKELEY,94708,-122.2653656,37.8929297
969,CRAGMONT AVE,,BERKELEY,94708,-122.2657335,37.8920819
1029,CRAGMONT AVE,,BERKELEY,94708,-122.2644334,37.8905767
1007,CRAGMONT AVE,,BERKELEY,94708,-122.2654266,37.8909058
920,REGAL RD,,BERKELEY,94708,-122.2645397,37.8940287
974,EUCLID AVE,,BERKELEY,94708,-122.2653415,37.8926739
908,REGAL RD,,BERKELEY,94708,-122.2650557,37.894055
1017,CRAGMONT AVE,,BERKELEY,94708,-122.2650569,37.8906029
960,EUCLID AVE,,BERKELEY,94708,-122.2653062,37.8932876
966,EUCLID AVE,,BERKELEY,94708,-122.2659739,37.8931331
921,CRAGMONT AVE,,BERKELEY,94708,-122.2657025,37.8932587
1001,CRAGMONT AVE,,BERKELEY,94708,-122.265637,37.891211
1008,EUCLID AVE,,BERKELEY,94708,-122.2651986,37.891248
1018,EUCLID AVE,,BERKELEY,94708,-122.2649138,37.8909305
912,REGAL RD,,BERKELEY,94708,-122.2648811,37.8940449
1000,EUCLID AVE,,BERKELEY,94708,-122.2652551,37.8915158
1034,EUCLID AVE,,BERKELEY,94708,-122.2642422,37.890619
944,EUCLID AVE,,BERKELEY,94708,-122.2645138,37.8937788
978,EUCLID AVE,,BERKELEY,94708,-122.2653291,37.8925361
951,CRAGMONT AVE,,BERKELEY,94708,-122.2658411,37.8926183
973,CRAGMONT AVE,,BERKELEY,94708,-122.2657331,37.8919549
990,EUCLID AVE,,BERKELEY,94708,-122.2652829,37.8919345
1006,EUCLID AVE,,BERKELEY,94708,-122.2652313,37.8913891
998,EUCLID AVE,,BERKELEY,94708,-122.2652683,37.8916735
962,EUCLID AVE,,BERKELEY,94708,-122.2654928,37.8931729
900,REGAL RD,,BERKELEY,94708,-122.2656665,37.8942439
952,EUCLID AVE,,BERKELEY,94708,-122.2648518,37.8936973
921,CRAGMONT AVE,,BERKELEY,94708,-122.2658811,37.8933711
1003,CRAGMONT AVE,,BERKELEY,94708,-122.2655526,37.8910873
890,REGAL RD,,BERKELEY,94708,-122.2660288,37.8945288
1021,CRAGMONT AVE,,BERKELEY,94708,-122.2649108,37.8905382
980,EUCLID AVE,,BERKELEY,94708,-122.265312,37.8923513
994,EUCLID AVE,,BERKELEY,94708,-122.265277,37.8918138
989,CRAGMONT AVE,,BERKELEY,94708,-122.2656802,37.8915168
987,CRAGMONT AVE,,BERKELEY,94708,-122.2657164,37.8916336
1011,CRAGMONT AVE,,BERKELEY,94708,-122.2652743,37.8907586
965,CRAGMONT AVE,,BERKELEY,94708,-122.2657395,37.8922107
986,EUCLID AVE,,BERKELEY,94708,-122.2652921,37.8920862
924,REGAL RD,,BERKELEY,94708,-122.2643631,37.8940224
972,EUCLID AVE,A,BERKELEY,94708,-122.2653572,37.8928415
906,REGAL RD,,BERKELEY,94708,-122.265206,37.8941486
904,REGAL RD,,BERKELEY,94708,-122.2653876,37.8941778
968,EUCLID AVE,,BERKELEY,94708,-122.2654817,37.8930469
968,EUCLID AVE,,BERKELEY,94708,-122.2659357,37.8929277
901,CRAGMONT AVE,,BERKELEY,94708,-122.2656733,37.8938396
911,CRAGMONT AVE,,BERKELEY,94708,-122.2658702,37.8936154
940,EUCLID AVE,,BERKELEY,94708,-122.2643399,37.8938365
897,CRAGMONT AVE,,BERKELEY,94708,-122.26604,37.8943496
894,REGAL RD,,BERKELEY,94708,-122.2658928,37.8944671
930,EUCLID AVE,,BERKELEY,94708,-122.2641483,37.8939461
948,EUCLID AVE,,BERKELEY,94708,-122.2646761,37.8937351
956,EUCLID AVE,,BERKELEY,94708,-122.2651803,37.8935082
880,REGAL RD,,BERKELEY,94708,-122.266144,37.894588
907,CRAGMONT AVE,,BERKELEY,94708,-122.2660678,37.8938462
2540,MARIN AVE,,BERKELEY,94708,-122.2636795,37.8953892
905,EUCLID AVE,,BERKELEY,94708,-122.2641192,37.8951739
914,HILLDALE AVE,,BERKELEY,94708,-122.2632048,37.8951798
2530,MARIN AVE,,BERKELEY,94708,-122.2639125,37.895357
910,HILLDALE AVE,,BERKELEY,94708,-122.2633103,37.8953186
935,REGAL RD,,BERKELEY,94708,-122.2633961,37.8937152
917,EUCLID AVE,,BERKELEY,94708,-122.2635644,37.8947679
911,EUCLID AVE,,BERKELEY,94708,-122.2637185,37.895011
929,EUCLID AVE,,BERKELEY,94708,-122.2634345,37.8941177
907,EUCLID AVE,,BERKELEY,94708,-122.2640071,37.8951007
2520,MARIN AVE,,BERKELEY,94708,-122.264238,37.8952363
840,HILLDALE AVE,,BERKELEY,94708,-122.2642298,37.8961198
60,BONNIE LN,,BERKELEY,94708,-122.2649711,37.8961793
44,BONNIE LN,,BERKELEY,94708,-122.2648495,37.8959111
32,BONNIE LN,,BERKELEY,94708,-122.2646958,37.8958763
943,REGAL RD,,BERKELEY,94708,-122.2634857,37.8933014
20,BONNIE LN,,BERKELEY,94708,-122.264522,37.895862
76,BONNIE LN,,BERKELEY,94708,-122.2647144,37.8962665
10,BONNIE LN,,BERKELEY,94708,-122.2642706,37.8957423
942,HILLDALE AVE,,BERKELEY,94708,-122.2629586,37.894221
927,EUCLID AVE,,BERKELEY,94708,-122.263419,37.8942413
919,EUCLID AVE,,BERKELEY,94708,-122.2634742,37.8946657
846,HILLDALE AVE,,BERKELEY,94708,-122.264125,37.8960404
70,BONNIE LN,,BERKELEY,94708,-122.2647853,37.8961665
902,HILLDALE AVE,,BERKELEY,94708,-122.2634814,37.8955758
